DATE,CCUSMA02RUM618N
2012-02-01,29.88195923
2012-03-01,29.3958
2012-04-01,26.42655506
2012-05-01,30.6482
2012-06-01,32.9132
2012-07-01,32.5
2012-08-01,32.033
2012-09-01,31.52728501
2012-10-01,31.0920353
2012-11-01,31.4100796
2012-12-01,30.74035266
2013-01-01,30.25781112
2013-02-01,30.16083713
2013-03-01,30.7983715
2013-04-01,31.32900716
2013-05-01,31.24061472
2013-06-01,32.27776391
2013-07-01,32.73641288
2013-08-01,33.01542781
2013-09-01,32.62842951
2013-10-01,32.06224793
2013-11-01,32.6448
2013-12-01,32.894
2014-01-01,33.457
2014-02-01,35.2237
2014-03-01,36.211
2014-04-01,35.6618
2014-05-01,34.9269
2014-06-01,34.4065
2014-07-01,34.6352
2014-08-01,36.10997289
2014-09-01,37.86951548
2014-10-01,40.7589
2014-11-01,45.86489737
2014-12-01,55.4131
2015-01-01,61.69875751
2015-02-01,64.63236937
2015-03-01,60.23427443
2015-04-01,52.8694
2015-05-01,50.5807
2015-06-01,54.4998
2015-07-01,57.0673
2015-08-01,65.1515
2015-09-01,66.7662
2015-10-01,63.0652
2015-11-01,65.026
2015-12-01,69.6603
2016-01-01,76.2506
2016-02-01,77.2174
2016-03-01,70.4711
2016-04-01,66.6827
2016-05-01,65.663
2016-06-01,65.306
2016-07-01,64.334
2016-08-01,64.9231
2016-09-01,64.5976
2016-10-01,62.6798
2016-11-01,64.3612
2016-12-01,62.1847
2017-01-01,59.9558
2017-02-01,58.3921
2017-03-01,58.1037
2017-04-01,56.43
2017-05-01,57.17
2017-06-01,57.81849877
2017-07-01,59.66838397
2017-08-01,59.64680817
2017-09-01,57.69389826
2017-10-01,57.72985408
2017-11-01,58.91817097
2017-12-01,58.5864
2018-01-01,56.7843
2018-02-01,56.8076
2018-03-01,57.0331
2018-04-01,60.4268
2018-05-01,62.2062
2018-06-01,62.7115
2018-07-01,62.8815
2018-08-01,66.0944
2018-09-01,67.6467
2018-10-01,65.8853
2018-11-01,66.2375
2018-12-01,67.3027
2019-01-01,67.3328
2019-02-01,65.8593
2019-03-01,65.1429
2019-04-01,64.617
2019-05-01,64.8152
2019-06-01,64.2246
2019-07-01,63.1983
2019-08-01,65.5278
2019-09-01,64.9795
2019-10-01,64.3539
2019-11-01,63.865
2019-12-01,62.9356
2020-01-01,61.7808
2020-02-01,63.8776
2020-03-01,73.148
2020-04-01,75.2169
2020-05-01,72.611
2020-06-01,69.2217
2020-07-01,71.2825
2020-08-01,73.797
2020-09-01,75.6513
2020-10-01,77.5887
2020-11-01,77.033
2020-12-01,74.0504
2021-01-01,74.2247
2021-02-01,74.3794
2021-03-01,74.4093
2021-04-01,76.0924
2021-05-01,74.042
2021-06-01,72.5083
2021-07-01,73.9174
2021-08-01,73.5929
2021-09-01,72.891
2021-10-01,71.492
